"Location","Compl.Score","Quests.Stars","Infects.Score","Overall.Score","Spends.Score","Images.Score","Values.Payment","Deaths.Score","Timely.Score","Median.Income","Percent.Population.Obese"
"WESTCHESTER NY",12.652,2.5,0.840985074626866,2.3,1.045,12.616,20900.4,11.6,61.0476190476191,81946,18.32
"WESTMORELAND PA",5.95642857142857,3,0.492944444444444,3.33333333333333,1.07666666666667,6.22307692307692,19643.5,11.7333333333333,49.8571428571429,50736,27.059
"WEXFORD MI",2.457,3,0.937666666666667,3,0.88,9.36666666666667,18863.5,11.4,51.2,40965,30.24
"WHITE AR",15.705,4,0.308125,3,0.98,12.66,18061.5,14.6,50,42487,30.968
"WHITE TN",1.26625,3,0,3,0.9,10.0333333333333,18164.5,12,52,34474,30.141
"WHITESIDE IL",15.0272727272727,3,0.718833333333333,4,0.96,7.95714285714286,20105.5,10.3,51.5,47667,26.406
"WHITFIELD GA",15.0381818181818,3,1.258875,4,0.94,10.55,17439.5,10.3,54,40471,28.902
"WICHITA TX",8.06714285714286,3.5,0.314111111111111,4,1.1,10.2555555555556,19863.5,12.9,52.5,45086,28.502
"WILL IL",12.6633333333333,3,0.692521739130435,2.66666666666667,1.04333333333333,10.7117647058824,20789.8333333333,9.96666666666667,100,76147,28.058
"WILLIAMS OH",2.294,4,0.2345,4,1.17,6.03333333333333,22291.5,12.4,54.5,43089,29.949
"WILLIAMSON IL",12.9140909090909,3,0.433,2.5,0.97,8.93636363636364,19983.75,11.95,41,43125,29.311
"WILLIAMSON TN",16.9172727272727,4,0.197571428571429,4,1,12.02,18296,13.8,54.5,89779,25.258
"WILLIAMSON TX",14.4440909090909,3.25,0.689555555555556,3.5,1.065,5.89545454545455,18956.2222222222,11.12,52,71803,25.94
"WILSON NC",12.67,3,0.902571428571429,4,0.96,9.13333333333333,18627,12.2,44,39204,33.243
"WILSON TN",16.1881818181818,2,0.327125,3,1.06,13.9166666666667,19216.5,12.6,48.5,60390,30.4
"WINDHAM CT",2.07052631578947,3,0.932142857142857,3,1.005,9.89090909090909,18748.25,12.35,50.2,59333,27.252
"WINNEBAGO IL",13.7424242424242,3,0.93695652173913,3.33333333333333,1.02,10.2764705882353,19486.3333333333,13.3,73,47072,28.206
"WINONA MN",2.55,3,0.284666666666667,3,0.87,4.45,18673.5,11.7,54,47468,27.604
"WISE TX",15.894,3,0.730571428571429,3,1.12,16.025,22330,11.5,100,56005,29.02
"WISE VA",1.37375,3,0.123,3,0.99,15.5,17984,12.9,50.5,36218,30.806
"WOOD WI",9.53142857142857,3.5,0.498363636363636,2.5,0.935,2.95714285714286,17875.6666666667,14.85,51,47685,28.582
"WOOD WV",17.5254545454545,3,0.578625,2,1.04,14.1166666666667,19454.5,12.9,53.5,42287,31.663
"WORCESTER MA",8.15680555555556,3.28571428571429,0.556756097560976,2.75,1.00125,6.55428571428571,19506.8571428571,11.975,53.1176470588235,65223,24.731
"WYTHE VA",2.121,3,0.102,3,0.95,11.82,18351.5,11.3,50.5,41275,27.611
"YAKIMA WA",12.8037037037037,2.75,0.603928571428571,2.25,0.896666666666667,8.84375,17620.5,13.375,54.5,43506,29.159
"YAMHILL OR",1.58277777777778,4,0.5461,3.5,0.855,7.84444444444444,17054.3333333333,12.1,52.4,54535,27.076
"YANKTON SD",2.01235294117647,4,0.476666666666667,4,0.925,4.8,18802.5,14.2,54,52578,28.423
"YAVAPAI AZ",9.2640625,3.33333333333333,0.805,3,0.953333333333333,10.2294117647059,19461.3333333333,12.4666666666667,49.8,42987,21.45
"YORK ME",15.2122727272727,3.5,0.81675,3.5,0.955,9.725,19431.25,12.7,45.3333333333333,57348,25.118
"YORK SC",15.3036363636364,3,0.403857142857143,1,1.04,9.96,19629,14.5,100,53740,28.049
