"","Location","Compl.Score","Quests.Stars","Infects.Score","Overall.Score","Spends.Score","Images.Score","Values.Payment","Deaths.Score","Timely.Score"
"1","ADAIR MO",12.76,4,0.4,4,0.93,12.125,19989,12.7,51
"2","ADAMS CO",11.210625,3.66666666666667,0.592714285714286,2.66666666666667,0.973333333333333,8.69333333333333,19578.6666666667,13.3333333333333,52.5
"3","ADAMS MS",2.332,2,0.46225,2,1.16,22.02,18428.5,15.9,51.5
"4","ADAMS NE",14.52,3,0.19525,3,1.01,9.42,20781,14.1,54.5
"5","ALAMANCE NC",15.8345454545455,3,0.980142857142857,3,0.91,10.3333333333333,19019.5,16.4,49.6666666666667
"6","ALAMEDA CA",11.0716949152542,2.66666666666667,0.8254125,2.5,1,5.6675,19626.7368421053,13.2777777777778,59.6666666666667
"7","ALBANY NY",11.6315625,2.33333333333333,0.843909090909091,2.33333333333333,0.96,6.52307692307692,19579.3333333333,13.8333333333333,46.6666666666667
"8","ALBEMARLE VA",17.5972727272727,4,0.625142857142857,3,0.93,8.98333333333333,17649.5,16.7,66.3333333333333
"9","ALCORN MS",17.85,4,0.498857142857143,2,0.96,10.45,18797,17.6,53
"10","ALEXANDRIA CITY VA",14.5436363636364,2,1.18614285714286,3,0.99,10.65,19580.5,13.3,54
"11","ALLEGANY NY",1.34285714285714,3,0.4565,3,0.89,4.93333333333333,18000,16,52
"12","ALLEGHANY VA",2.186,3,0.307666666666667,3,0.92,11.4166666666667,18503,15.1,52
"13","ALLEGHENY PA",11.4796178343949,2.86666666666667,0.821038461538461,3,1.05866666666667,9.59285714285714,20457.3214285714,13.9615384615385,53.875
"14","ALLEN IN",9.65178571428572,3.5,0.811148148148148,3.66666666666667,0.99,9.82,18213.1428571429,14.5333333333333,47.6666666666667
"15","ALLEN OH",10.7021428571429,3.66666666666667,0.445,4,0.97,9.52142857142857,20026.25,13.15,19
"16","ALPENA MI",14.0509090909091,3,0.795,4,1,12.5333333333333,19466.5,14.3,47.25
"17","AMADOR CA",15.8045454545455,3,0.487333333333333,2,0.92,10.92,20981.5,15.9,52
